ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Puchase Amounts,Subscription Start Date,Subscription Expiration,Duration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform (App = 0),Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,App Start,App Other,App Completed,App NULL,App Onboarding,App Launch Times
1,POR,0,0,0,#VALUE!,12/28/2018,6/28/2019,182,1,0,0,US/Canada,1,0,1,1,63,7,0,6,0,0,0,2,0,0,12
2,EBR,0,0,1,39,11/28/2019,2/28/2020,92,0,0,0,Other,1,1,0,1,4,3,0,1,0,12,25,16,0,0,27
3,ESP,0,0,1,0,12/31/2018,12/31/2019,365,0,0,0,US/Canada,1,1,1,1,1,0,0,0,0,0,2,37,0,0,39
4,KOR,0,0,0,#VALUE!,11/7/2019,2/7/2020,92,1,0,0,US/Canada,1,0,1,1,14,0,0,0,0,8,9,6,0,0,15
5,ENG,0,0,0,#VALUE!,8/13/2019,11/13/2019,92,0,0,0,US/Canada,1,1,1,1,80,5,1,5,1,38,30,21,0,0,63
6,ESP,0,0,1,38.34,8/23/2019,11/23/2019,92,1,0,0,US/Canada,1,0,1,1,162,1,0,1,0,3,21,10,0,0,16
7,ESP,0,1,1,79,7/21/2019,11/11/2019,113,1,0,0,Other,1,0,1,1,2,0,0,0,0,7,9,9,0,0,12
8,DEU,0,0,1,38.4,3/7/2020,6/7/2020,92,1,0,1,US/Canada,1,0,1,1,25,17,4,7,2,13,21,19,0,0,25
9,DEU,0,0,1,43.16,3/3/2020,6/8/2020,97,0,1,1,Europe,1,1,0,1,52,11,0,5,0,15,1,14,0,0,14
10,ESP,0,1,0,#VALUE!,3/21/2020,3/6/2021,350,0,1,1,US/Canada,1,0,0,1,1,0,0,0,0,0,3,8,0,0,12
11,FRA,0,1,0,#VALUE!,5/16/2019,5/16/2020,366,1,0,1,Europe,1,0,0,1,0,0,0,0,0,31,29,41,0,0,52
12,ESP,0,0,1,35.97,10/17/2019,1/21/2020,96,0,1,0,US/Canada,1,1,1,1,94,0,0,0,0,6,7,4,0,0,3
13,GLE,0,1,1,13.43,3/17/2019,5/17/2020,427,0,0,1,Europe,1,1,0,1,70,70,0,2,0,42,67,87,0,0,90
14,ALL,0,0,1,143.76,3/25/2020,3/25/2022,730,0,0,1,US/Canada,1,1,1,1,174,37,6,28,2,2,3,1,0,0,2
15,ESP,0,0,0,#VALUE!,9/1/2019,3/1/2020,182,1,0,0,US/Canada,1,0,1,1,15,0,0,0,0,3,4,1,0,0,5
18,SVE,0,0,1,98.58,5/1/2019,11/15/2020,564,0,0,1,Europe,1,1,1,1,2,1,0,1,0,54,70,46,0,0,93
19,ITA,0,0,0,#VALUE!,10/18/2019,4/18/2020,183,1,0,0,US/Canada,1,0,1,1,2,0,0,0,0,30,30,28,0,0,38
21,JPN,0,0,1,13.69,6/19/2019,6/19/2020,366,1,0,1,Europe,1,1,0,1,0,0,0,0,0,37,66,57,0,0,86
22,ENG,0,0,1,39.5,12/24/2019,3/24/2020,91,1,0,0,US/Canada,1,0,1,1,8,2,0,1,0,5,22,19,0,0,32
24,FRA,0,0,1,0,2/2/2019,2/2/2020,365,0,0,0,US/Canada,1,1,0,1,3,2,0,1,0,21,24,13,0,0,24
25,ESP,0,1,0,#VALUE!,11/2/2018,2/5/2020,460,1,0,0,US/Canada,1,0,1,1,1,0,0,0,0,50,123,50,0,0,124
26,RUS,0,0,0,#VALUE!,3/17/2020,2/10/2021,330,1,0,1,Europe,1,0,0,1,1,0,0,0,0,41,45,56,0,0,57
27,ESC,0,0,1,65.94,3/16/2019,12/27/2019,286,0,0,0,US/Canada,1,1,0,1,0,0,0,0,0,33,69,136,0,0,125
28,EBR,0,0,1,22.76,12/24/2018,12/24/2019,365,0,0,0,Europe,1,1,0,1,0,0,0,0,0,45,43,23,0,0,74
